True,apply_link,company,date_added,id,location,title,yoe,link
25,https://careers.snowflake.com/us/en/job/SNCOUS6699872002EXTERNALENUS/Software-Engineer-Intern-Infrastructure-Automation-Fall-2023,Snowflake,2023-06-29T00:00:00.000Z,XWBHmsOQuVqPkdFy2crf,United States,Software Engineer Intern (Infrastructure Automation) - Fall 2023,intern,https://www.linkedin.com/jobs/view/3650268826
26,https://jobs.sap.com/job/Newport-Beach-SAP-iXp-Intern-ICX-Data-Engineering-CA-92660/979087301/,SAP,2023-09-07T08:43:03.000Z,Lak51Qo48pwgZOiHgNye,United States,SAP iXp Intern - ICX Data Engineering,intern,https://www.linkedin.com/jobs/view/3711775218
27,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Infrastructure-Software-Engineering-Intern--TensorRT---Fall-2023_JR1968305,NVIDIA,2023-07-13T08:00:17.000Z,SSbTavZUZ9QtzKzdvZxz,United States,"Infrastructure Software Engineering Intern, TensorRT - Fall 2023",intern,https://www.linkedin.com/jobs/view/3662427693
28,,SAP,2023-09-20T17:35:28.000Z,jKSSH8lRSl3sHCq9W6Nl,United States,SAP Labs US iXp Intern - Software Developer,intern,https://www.linkedin.com/jobs/view/3723240981
29,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/System-Validation-Engineer-Intern---Fall-2023_JR1968097,NVIDIA,2023-07-13T08:00:26.000Z,DMwWhWFJHTSEIz8QKDhF,United States,System Validation Engineer Intern - Fall 2023,intern,https://www.linkedin.com/jobs/view/3662428625
30,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Silicon-Validation-Engineering-Intern---Fall-2023_JR1969414,NVIDIA,2023-07-22T08:00:18.000Z,so32wY6STfXiVQN5pEfj,United States,Silicon Validation Engineering Intern - Fall 2023,intern,https://www.linkedin.com/jobs/view/3671623818
31,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-OR-Hillsboro/System-Validation-Engineer-Intern---Fall-2023_JR1968096-1,NVIDIA,2023-07-11T08:01:22.000Z,RfLu8DGHHlEpwpzfL12c,United States,System Validation Engineer Intern - Fall 2023,intern,https://www.linkedin.com/jobs/view/3660477673
32,https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-I-Co-Op-United-States/1404704,Cisco,2023-09-17T12:07:28.000Z,9QroFmADNcRSY02Yb7zR,United States,Software Engineer I (Co-Op) United States,intern,https://www.linkedin.com/jobs/view/3722947535
33,https://www.linkedin.com/jobs/view/3682225526/,Cisco,2023-09-14T08:29:57.000Z,W0SXxKhsNv7fFIXCnpMh,United States,Software Engineer II (Co-Op) United States,intern,https://www.linkedin.com/jobs/view/3682225526
34,,Intel Corporation,2023-06-08T00:00:00.000Z,t8ogVxd7VBjFF9QsPdvw,United States,Software Engineer - Intern,intern,https://www.linkedin.com/jobs/view/3629703419
